instrument_id,local_symbol,live_symbol
378,ENF(,Drm.Index25
379,COAL (EX-USD,COAL.FUT
380,STEEL (E-USD,STEEL.FUT
381,CLASS II-USD,MILK.FUT
382,LUMBER (-USD,LUMBER.FUT
383,BRENT OI-USD_383,CO.MAR26
384,VO2F,VIX.OCT
385,VN2F,VIX.NOV
386,VD2F,VIX.DEC
387,LOW SULP-USD,GasOil.FUT
388,GERMAN P-USD,POWER.FUT
389,UK NBP N-USD,UKNatGas.FUT
390,VJ2F,VIX.JAN
391,VF2F,VIX.FEB
392,TWDUSD=X,TWDUSD
393,USDCLP_old=X,USDCLP_old
394,USDCOPold=X,USDCOP_old
395,USDPEN=X,USD/PEN
396,VM2F,VIX.MAR
397,VA2F,VIX.APR24
398,BRENT OI-USD_398,CO.APR26
399,BRENT OI-USD_399,CO.MAY26
400,BTC-FUT,BTIA.FUT
401,COINBASE-USD,CETA.FUT
402,BTC-FUT-NANO,BITA.FUT
403,NANO ETH-USD,META.FUT
404,DOGE-FUT,DGOA.FUT
405,DOT-FUT,DOTA.FUT
406,BCH-FUT,BHCA.FUT
407,LTC-FUT,LTIA.FUT
408,STELLAR -USD,XLRA.FUT
409,AVAX-FUT,AVAA.FUT
410,LINK-FUT,LNCA.FUT
411,1K SHIB -USD,SHIA.FUT
412,BRENT OI-USD_412,CO.JUN26
413,BRENT OI-USD_413,CO.JUL26
414,BRENT OI-USD_414,CO.AUG26
415,BRENT OI-USD_415,CO.SEP26
416,BRENT OI-USD_416,CO.OCT26
417,BRENT OI-USD_417,CO.NOV26
418,BRENT OI-USD_418,CO.DEC26
419,BRENT OI-USD_419,CO.JAN27
420,BRENT OI-USD_420,CO.FEB27
421,BRENT OI-USD_421,CO.HDG
422,CANOLA (-USD,CANOLA.FUT
423,USDILS=X,USDILS
424,GBPILS=X_424,GBPILS
425,EURILS=X_425,EURILS
426,USDCOP=X,USDCOP
427,USDCLP=X,USDCLP
428,USDKRW=X,USDKRW
429,USDBRL=X_429,USDBRL
430,V(2F,VIX.MAY24
431,V(2F_431,VIX.JUN24
432,V(2F_432,VIX.JUL24
433,V(2F_433,VIX.AUG24
434,V(2F_434,VIX.SEP24
435,V(2F_435,VIX.OCT24
436,V(2F_436,VIX.NOV24
437,V(2F_437,VIX.DEC24
438,V(2F_438,VIX.JAN25
439,V(2F_439,VIX.FEB25
440,V(2F_440,VIX.MAR25
441,V(2F_441,VIX.APR25
442,V(2F_442,VIX.MAY25
443,V(2F_443,VIX.JUN25
445,V(2F_445,VIX.AUG25
446,V(2F_446,VIX.SEP25
447,V(2F_447,VIX.OCT25
448,V(2F_448,VIX.NOV25
449,V(2F_449,VIX.DEC25
450,V(2F_450,VIX.JAN26
451,V(2F_451,VIX.FEB26
453,USDAED=X,USDAED
454,USDARS=X,USDARS
455,USDPEN=X_455,USDPEN
456,USDINR=X,USDINR
457,USDMYR=X,USDMYR
458,USDPHP=X,USDPHP
459,USDTWD=X,USDTWD
460,USDTHB=X,USDTHB
461,USDIDR=X,USDIDR
462,CADHKD=X,CADHKD
463,CADCNH=X,CADCNH
464,CADSGD=X,CADSGD
465,AUDHKD=X,AUDHKD
466,AUDCNH=X,AUDCNH
467,AUDSGD=X,AUDSGD
468,CHFNOK=X,CHFNOK
469,CHFSEK=X,CHFSEK
470,CHFHKD=X,CHFHKD
471,CHFCNH=X,CHFCNH
472,CHFSGD=X,CHFSGD
473,EURZAR=X,EURZAR
474,EURTRY=X,EURTRY
475,EURHKD=X,EURHKD
476,NATURAL -USD_476,NG.DEC25
477,EURMXN=X,EURMXN
478,EURSGD=X,EURSGD
479,EURSAR=X,EURSAR
481,CRUDE OI-USD_481,CL.FEB25
482,CRUDE OI-USD_482,CL.MAR25
484,CRUDE OI-USD_484,CL.MAY25
485,CRUDE OI-USD_485,CL.JUN25
486,CRUDE OI-USD_486,CL.JUL25
487,CRUDE OI-USD_487,CL.AUG25
489,CRUDE OI-USD_489,CL.OCT25
490,CRUDE OI-USD_490,CL.NOV25
491,CRUDE OI-USD_491,CL.DEC25
497,NATURAL -USD_497,NG.JAN26
502,CRUDE OI-USD_502,CL.JAN25
510,CRUDE OI-USD_510,CL.APR25
524,CRUDE OI-USD_524,CL.SEP25
540,BRENT OI-USD_540,CO.JAN26
553,BRENT OI-USD_553,CO.FEB26
554,CRUDE OI-USD_554,CL.JAN26
555,CRUDE OI-USD_555,CL.FEB26
556,CRUDE OI-USD_556,CL.MAR26
557,IRON ORE-USD,IronOre
559,GOLD 24/-USD,GOLD.24-7
