instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
7153,AOV.ASX,AL.AX_7153,AOV.AX,5,RESCUED (applied)
7154,NWL.ASX,NGL.AX,NWL.AX,5,RESCUED (applied)
7156,CNU.ASX,CL.AX_7156,CNU.AX,5,RESCUED (applied)
7159,ARF.ASX,AR.AX,ARF.AX,5,RESCUED (applied)
7160,BGA.ASX,BCL.AX,BGA.AX,5,RESCUED (applied)
7163,CKF.ASX,CFL.AX,CKF.AX,5,RESCUED (applied)
7165,GOZ.ASX,GPA.AX,GOZ.AX,5,RESCUED (applied)
7166,EVT.ASX,EL.AX_7166,EVT.AX,5,RESCUED (applied)
7167,CMW.ASX,CPG.AX,CMW.AX,5,RESCUED (applied)
7168,CQE.ASX,CHS.AX,CQE.AX,5,RESCUED (applied)
7169,IMU.ASX,IL.AX_7169,IMU.AX,5,RESCUED (applied)
10669,RMS.ASX,RRL.AX_10669,RMS.AX,5,RESCUED (applied)
10677,IMD.ASX,IL.AX_10677,IMD.AX,5,RESCUED (applied)
10679,GMD.ASX,GML.AX,GMD.AX,5,RESCUED (applied)
10684,WGX.ASX,WRL.AX,WGX.AX,5,RESCUED (applied)
10702,EMR.ASX,ERN.AX,EMR.AX,5,RESCUED (applied)
10705,CTT.ASX,CL.AX_10705,CTT.AX,5,RESCUED (applied)
10706,VNT.ASX,VSG.AX,VNT.AX,5,RESCUED (applied)
10718,SMR.ASX,SRL.AX_10718,SMR.AX,5,RESCUED (applied)
10719,ABB.ASX,ABL.AX,ABB.AX,5,RESCUED (applied)
10720,WBT.ASX,WNL.AX,WBT.AX,5,RESCUED (applied)
10721,BOE.ASX,BEL.AX_10721,BOE.AX,5,RESCUED (applied)
10728,HLI.ASX,HGL.AX,HLI.AX,5,RESCUED (applied)
10735,SDR.ASX,SL.AX_10735,SDR.AX,5,RESCUED (applied)
10746,DTL.ASX,DL.AX,DTL.AX,5,RESCUED (applied)
10748,SIQ.ASX,SCL.AX,SIQ.AX,5,RESCUED (applied)
10749,CDA.ASX,CL.AX_10749,CDA.AX,5,RESCUED (applied)
10755,NCK.ASX,NSL.AX,NCK.AX,5,RESCUED (applied)
10761,AD8.ASX,AGL.AX_10761,AD8.AX,5,RESCUED (applied)
10764,NEU.ASX,NPL.AX,NEU.AX,5,RESCUED (applied)
10768,MMS.ASX,MSL.AX,MMS.AX,5,RESCUED (applied)
10916,AX1.ASX,AGL.AX_10916,AX1.AX,5,RESCUED (applied)
10918,IDX.ASX,IDL.AX,IDX.AX,5,RESCUED (applied)
10941,RDX.ASX,RL.AX_10941,RDX.AX,5,RESCUED (applied)
10951,BMN.ASX,BEL.AX_10951,BMN.AX,5,RESCUED (applied)
