instrument_id,symbol,yfinance_symbol,resolved_symbol,rows,status
3503,ZAG.VI,D3_3503,ZAG.VI,5,RESCUED (applied)
3504,ACP.WA,APS,ACP.WA,5,RESCUED (applied)
3506,ALR.WA,ABS,ALR.WA,5,RESCUED (applied)
3510,DNP.WA,DPS,DNP.WA,5,RESCUED (applied)
3511,EAT.WA,AHS,EAT.WA,5,RESCUED (applied)
3512,ENG.WA,ES,ENG.WA,5,RESCUED (applied)
3514,JSW.WA,JSWS,JSW.WA,5,RESCUED (applied)
3515,KGH.WA,KPMS,KGH.WA,5,RESCUED (applied)
3517,KTY.WA,GKS,KTY.WA,5,RESCUED (applied)
3520,MRC.WA,MMS,MRC.WA,5,RESCUED (applied)
3521,OPL.WA,OPS,OPL.WA,5,RESCUED (applied)
3522,PCO.WA,PGN,PCO.WA,5,RESCUED (applied)
3523,PEO.WA,BPK,PEO.WA,5,RESCUED (applied)
3525,PKN.WA,PKN,PKN.WA,5,RESCUED (applied)
3526,PKO.WA,PKO,PKO.WA,5,RESCUED (applied)
3527,PZU.WA,PZUS,PZU.WA,5,RESCUED (applied)
3529,TPE.WA,TPES,TPE.WA,5,RESCUED (applied)
3530,ANIM.MI,AHS.MI,ANIM.MI,4,RESCUED (applied)
3531,BFF.MI,BBS.MI,BFF.MI,4,RESCUED (applied)
3532,REY.MI,RS.MI,REY.MI,3,RESCUED (applied)
3534,WBD.MI,WS.MI,WBD.MI,3,RESCUED (applied)
3535,PIA.MI,P&CS.MI,PIA.MI,3,RESCUED (applied)
3536,MAIRE.MI,MTS.MI,MAIRE.MI,3,RESCUED (applied)
3537,DNR.MI,IDNS.MI,DNR.MI,4,RESCUED (applied)
3538,DLG.MI,DS.MI,DLG.MI,3,RESCUED (applied)
3539,TGYM.MI,TS.MI_3539,TGYM.MI,4,RESCUED (applied)
3540,CE.MI,CES.MI,CE.MI,3,RESCUED (applied)
3542,FCT.MI,FS.MI,FCT.MI,4,RESCUED (applied)
3543,ACE.MI,AS.MI_3543,ACE.MI,3,RESCUED (applied)
3544,SES.MI,SS.MI_3544,SES.MI,3,RESCUED (applied)
3545,ZV.MI,ZVS.MI,ZV.MI,3,RESCUED (applied)
3546,ICOS.MI,IS.MI,ICOS.MI,4,RESCUED (applied)
3547,ENAV.MI,ES.MI,ENAV.MI,4,RESCUED (applied)
3548,SOL.MI,SS.MI_3548,SOL.MI,3,RESCUED (applied)
3549,SL.MI,SS.MI_3549,SL.MI,4,RESCUED (applied)
3550,ARIS.MI,AHN.MI,ARIS.MI,4,RESCUED (applied)
3551,GVS.MI,GS.MI,GVS.MI,4,RESCUED (applied)
3552,DAN.MI,D&C.MI,DAN.MI,3,RESCUED (applied)
3554,RWAY.MI,RWS.MI,RWAY.MI,4,RESCUED (applied)
3555,ITM.MI,IS.MI_3555,ITM.MI,3,RESCUED (applied)
3556,CRL.MI,CIS.MI,CRL.MI,4,RESCUED (applied)
3557,EGLA.MI,ELS.MI,EGLA.MI,4,RESCUED (applied)
3558,CEM.MI,CHN.MI,CEM.MI,3,RESCUED (applied)
3559,MOL.MI,GMS.MI,MOL.MI,3,RESCUED (applied)
3560,ARN.MI,ACPS.MI,ARN.MI,3,RESCUED (applied)
3562,NEX.PA,NS.PA,NEX.PA,5,RESCUED (applied)
3563,GTT.PA,GETS.PA,GTT.PA,5,RESCUED (applied)
3564,TE.PA,TEN.PA,TE.PA,5,RESCUED (applied)
3565,ERA.PA,ES.PA_3565,ERA.PA,5,RESCUED (applied)
3566,VIRI.PA,VIRIDI,VIRI.PA,5,RESCUED (applied)
3567,VRLA.PA,VERALL,VRLA.PA,5,RESCUED (applied)
3568,AYV.PA,AS.PA_3568,AYV.PA,5,RESCUED (applied)
3569,IPS.PA,IS.PA,IPS.PA,5,RESCUED (applied)
3570,EAPI.PA,ES.PA_3570,EAPI.PA,5,RESCUED (applied)
3571,COFA.PA,CS.PA_3571,COFA.PA,5,RESCUED (applied)
3572,VU.PA,VUSION,VU.PA,5,RESCUED (applied)
3573,MERY.PA,MERCIA,MERY.PA,5,RESCUED (applied)
3575,ARG.PA,AS.PA_3575,ARG.PA,5,RESCUED (applied)
3576,ITP.PA,IS.PA_3576,ITP.PA,5,RESCUED (applied)
3578,DBG.PA,DS.PA_3578,DBG.PA,5,RESCUED (applied)
3580,MRN.PA,MS.PA,MRN.PA,5,RESCUED (applied)
3581,BEN.PA,BS.PA_3581,BEN.PA,5,RESCUED (applied)
3582,VIRP.PA,VS.PA_3582,VIRP.PA,5,RESCUED (applied)
3583,LSS.PA,LS.PA_3583,LSS.PA,5,RESCUED (applied)
3584,XFAB.PA,XFS.PA,XFAB.PA,5,RESCUED (applied)
3585,MAU.PA,EM&.PA,MAU.PA,5,RESCUED (applied)
